# Node_i Node_j Weight(J_ij)
0 3 -0.5
0 10 -0.4999999999999998
0 14 -0.5000000000000007
1 4 -0.5000000000000007
1 11 -0.4999999999999997
1 12 -0.5
2 4 -0.5000000000000013
2 13 -0.5000000000000004
2 14 -0.5000000000000002
3 0 -0.5
3 4 -0.4999999999999999
3 15 -0.4999999999999997
4 1 -0.5000000000000007
4 2 -0.5000000000000013
4 3 -0.4999999999999999
5 9 -0.5000000000000006
5 10 -0.4999999999999993
5 11 -0.5000000000000001
6 7 -0.5000000000000007
6 8 -0.49999999999999967
6 12 -0.5000000000000002
7 6 -0.5000000000000007
7 10 -0.49999999999999944
7 13 -0.5
8 6 -0.49999999999999967
8 11 -0.5
8 14 -0.49999999999999944
9 5 -0.5000000000000006
9 13 -0.49999999999999944
9 15 -0.4999999999999999
10 0 -0.4999999999999998
10 5 -0.4999999999999993
10 7 -0.49999999999999944
11 1 -0.4999999999999997
11 5 -0.5000000000000001
11 8 -0.5
12 1 -0.5
12 6 -0.5000000000000002
12 15 -0.4999999999999992
13 2 -0.5000000000000004
13 7 -0.5
13 9 -0.49999999999999944
14 0 -0.5000000000000007
14 2 -0.5000000000000002
14 8 -0.49999999999999944
15 3 -0.4999999999999997
15 9 -0.4999999999999999
15 12 -0.4999999999999992
