node_id,mass_mev,pos_x_sim,pos_y_sim,pos_z_sim,vel_x,vel_y,vel_z,phase_rad,spin_vorticity
0,0.511,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.5
1,0.511,10.0,0.0,0.0,0.0,0.0,0.0,3.141593,0.5
2,0.511,20.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.5
3,0.511,30.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.5
4,0.511,0.0,10.0,0.0,0.0,0.0,0.0,0.000000,0.5
5,0.511,10.0,10.0,0.0,0.0,0.0,0.0,3.141593,0.5
6,0.511,20.0,10.0,0.0,0.0,0.0,0.0,0.000000,0.5
7,0.511,30.0,10.0,0.0,0.0,0.0,0.0,0.000000,0.5
8,0.511,0.0,20.0,0.0,0.0,0.0,0.0,0.000000,0.5
9,0.511,10.0,20.0,0.0,0.0,0.0,0.0,3.141593,0.5
10,0.511,20.0,20.0,0.0,0.0,0.0,0.0,0.000000,0.5
11,0.511,30.0,20.0,0.0,0.0,0.0,0.0,0.000000,0.5
12,0.511,0.0,30.0,0.0,0.0,0.0,0.0,0.000000,0.5
13,0.511,10.0,30.0,0.0,0.0,0.0,0.0,0.000000,0.5
14,0.511,20.0,30.0,0.0,0.0,0.0,0.0,3.141593,0.5
15,0.511,30.0,30.0,0.0,0.0,0.0,0.0,0.000000,0.5
